title,id,role,current
,KatrinUllrich, (supervised PhD candidate&comma; thesis completed'21),
Dr. ,MichaelKamp, (supervised PhD candidate&comma; <a href=http://hdl.handle.net/20.500.11811/8083>thesis</a> completed '19 with <i>magna cum laude</i>), at Monash University
Dr. ,DanielPaurat, (supervised PhD candidate&comma; <a href=http://hdl.handle.net/20.500.11811/7166>thesis</a> completed '17 with <i>magna cum laude</i>), at Fraunhofer IAIS
Dr. ,OlanaMissura, (supervised PhD candidate&comma; <a href=http://hdl.handle.net/20.500.11811/6543>thesis</a> completed '15 with <i>magna cum laude</i>), at Google
Dr. ,MarioBoley, (PhD and later PostDoc&comma; <a href=http://hdl.handle.net/20.500.11811/5063>thesis</a>), at Monash University
Dr. ,TamasHorvath, (senior scientist), at University of Bonn
Dr. ,ShankarVembu, (co-supervised PhD&comma; <a href=http://hdl.handle.net/20.500.11811/4608>thesis</a> completed '09 with <i>magna cum laude</i>),
Dr. ,MaikeKrause-Trudes, (PostDoc),
Prof. Dr. ,UlfBrefeld, (PostDoc), Professor for Machine Learning at Leuphana Universität Lüneburg
Prof. Dr. ,RomanGarnett, PostDoc, Assistant Professor at Washington University in St. Louis
